"","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"33","P04114","APOB_HUMAN","APOB","Apolipoprotein B-100",174,5124605,NA,NA,FALSE,TRUE,"HPA"
"34","A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",2,5065554,NA,NA,FALSE,FALSE,"HPA"
"35","P02743","SAMP_HUMAN","APCS","Serum amyloid P-component",8,4880731,NA,NA,FALSE,FALSE,"HPA"
"36","P02675","FIBB_HUMAN","FGB","Fibrinogen beta chain",28,4721553,NA,NA,FALSE,TRUE,"HPA"
"37","P02549","SPTA1_HUMAN","SPTA1","Spectrin alpha chain, erythrocytic 1",101,4353279,NA,NA,FALSE,FALSE,"HPA"
"38","P00734","THRB_HUMAN","F2","Prothrombin",20,4283617,NA,NA,FALSE,TRUE,"HPA"
"39","P19823","ITIH2_HUMAN","ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2",23,4068583,NA,NA,FALSE,TRUE,"HPA"
"40","P19827","ITIH1_HUMAN","ITIH1","Inter-alpha-trypsin inhibitor heavy chain H1",20,3968626,NA,NA,FALSE,TRUE,"HPA"
"41","P0CG38","POTEI_HUMAN","POTEI","POTE ankyrin domain family member I",2,3657125,NA,NA,FALSE,FALSE,"HPA"
"42","P02760","AMBP_HUMAN","AMBP","Protein AMBP",13,3619047,NA,NA,FALSE,FALSE,"HPA"
"43","Q9NZD4","AHSP_HUMAN","AHSP","Alpha-hemoglobin-stabilizing protein",4,3576893,NA,NA,FALSE,FALSE,"HPA"
"44","A0A087WSY6","KVD15_HUMAN","IGKV3D-15","Immunoglobulin kappa variable 3D-15",1,3513058,NA,NA,FALSE,FALSE,"HPA"
